epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.01,0.6476385937908626,0.13815133531122048,0.5141767719926421,0.020356239438648328,0.020356244780603317
1,0.01,0.48159468139768863,0.030612249211647746,0.5039677468268319,0.020356239438648328,0.020356244780603317
2,0.01,0.4833206469003035,0.028061229933418162,0.5019023192444527,0.020356239438648328,0.020356244780603317
3,0.01,0.4829058480277962,0.035714289560143685,0.5162535308274907,0.020356239438648328,0.020356244780603317
4,0.01,0.47569264969503394,0.03061224939263911,0.5070109167171799,0.020356239438648328,0.020356244780603317
5,0.01,0.47580813312408876,0.04081633027217769,0.5203243632049658,0.020356239438648328,0.020356244780603317
6,0.01,0.4742327690200538,0.020408168676273496,0.5187569017932009,0.020356239438648328,0.020356244780603317
7,0.01,0.4749657691513397,0.025510209550139842,0.5005734480974329,0.020356239438648328,0.020356244780603317
8,0.01,0.47478067293307,0.030612249649831058,0.5448106126930877,0.020356239438648328,0.020356244780603317
9,0.01,0.472626336755193,0.045918370888647586,0.49578310363468625,0.020356239438648328,0.020356244780603317
10,0.01,0.4740746540910735,0.022959187908426663,0.5108732261123852,0.020356239438648328,0.020356244780603317
11,0.01,0.47110654820440984,0.0357142894159115,0.4960835976455048,0.020356239438648328,0.020356244780603317
12,0.01,0.4712611412895577,0.033163269873809284,0.49646659252297787,0.020356239438648328,0.020356244780603317
13,0.01,0.4689740327624034,0.03571428990387285,0.4949784900699256,0.020356239438648328,0.020356244780603317
14,0.01,0.46833996254266524,0.02806122887410947,0.4955973431050929,0.020356239438648328,0.020356244780603317
15,0.01,0.4671254910680713,0.025510207924816307,0.4993505885886175,0.020356239438648328,0.020356244780603317
16,0.01,0.46405599342317,0.020408167245165088,0.49058903021970174,0.020405794350925672,0.020455107741692794
17,0.01,0.42298355013398187,0.18786546580839975,0.4855098285292851,0.2194869863391271,0.30951812020863034
18,0.01,0.37083107737672266,0.3421606000368536,0.37003286205630265,0.35037760123321465,0.4638902310649849
19,0.01,0.3501344103157064,0.3986783914182897,0.3613955518444076,0.3714268839369318,0.4879009020719544
